id,metricDescription,yAxisFormatter,renderer,url,graph
mysql.qcache_lowmem_prunes,mysql qcache lowmem prunes,byte,line,n42-services/resources/metrics/mysql.qcache_lowmem_prunes,TRUE
mysql.qcache_not_cached,mysql qcache not cached,byte,line,n42-services/resources/metrics/mysql.qcache_not_cached,FALSE
mysql.qcache_queries_in_cache,mysql qcache queries in cache,byte,line,n42-services/resources/metrics/mysql.qcache_queries_in_cache,TRUE
mysql.qcache_total_blocks,mysql qcache total blocks,byte,line,n42-services/resources/metrics/mysql.qcache_total_blocks,FALSE
mysql.query_cache_hits,mysql query cache hits,byte,line,n42-services/resources/metrics/mysql.query_cache_hits,TRUE
mysql.query_cache_not_cached,mysql query cache not cached,byte,line,n42-services/resources/metrics/mysql.query_cache_not_cached,FALSE
mysql.replication_lag,mysql replication lag,byte,line,n42-services/resources/metrics/mysql.replication_lag,TRUE
mysql.replication_status,mysql replication status,byte,line,n42-services/resources/metrics/mysql.replication_status,FALSE
mysql.select_full_join,mysql select full join,byte,line,n42-services/resources/metrics/mysql.select_full_join,TRUE
mysql.select_full_range_join,mysql select full range join,byte,line,n42-services/resources/metrics/mysql.select_full_range_join,FALSE
mysql.select_range,mysql select range,byte,line,n42-services/resources/metrics/mysql.select_range,TRUE
mysql.select_range_check,mysql select range check,byte,line,n42-services/resources/metrics/mysql.select_range_check,FALSE
mysql.select_scan,mysql select scan,byte,line,n42-services/resources/metrics/mysql.select_scan,TRUE
mysql.slave_relay_log_bytes,mysql slave relay log bytes,byte,line,n42-services/resources/metrics/mysql.slave_relay_log_bytes,FALSE
mysql.slow_queries,mysql slow queries,byte,line,n42-services/resources/metrics/mysql.slow_queries,TRUE
mysql.sort_range,mysql sort range,byte,line,n42-services/resources/metrics/mysql.sort_range,FALSE
mysql.sort_scan,mysql sort scan,byte,line,n42-services/resources/metrics/mysql.sort_scan,TRUE
mysql.table_locks_immediate,mysql table locks immediate,byte,line,n42-services/resources/metrics/mysql.table_locks_immediate,FALSE
mysql.table_locks_waited,mysql table locks waited,byte,line,n42-services/resources/metrics/mysql.table_locks_waited,TRUE
mysql.threads_cached,mysql threads cached,byte,line,n42-services/resources/metrics/mysql.threads_cached,FALSE
mysql.threads_connected,mysql threads connected,byte,line,n42-services/resources/metrics/mysql.threads_connected,TRUE
mysql.threads_created,mysql threads created,byte,line,n42-services/resources/metrics/mysql.threads_created,FALSE
mysql.threads_running,mysql threads running,byte,line,n42-services/resources/metrics/mysql.threads_running,TRUE
mysql.uptime,mysql uptime,byte,line,n42-services/resources/metrics/mysql.uptime,FALSE
net.sockstat.ipfragqueues,net sockstat ipfragqueues,byte,line,n42-services/resources/metrics/net.sockstat.ipfragqueues,TRUE
net.sockstat.memory,net sockstat memory,byte,line,n42-services/resources/metrics/net.sockstat.memory,FALSE
net.sockstat.num_orphans,net sockstat num orphans,byte,line,n42-services/resources/metrics/net.sockstat.num_orphans,TRUE
net.sockstat.num_sockets,net sockstat num sockets,byte,line,n42-services/resources/metrics/net.sockstat.num_sockets,FALSE
net.sockstat.num_timewait,net sockstat num timewait,byte,line,n42-services/resources/metrics/net.sockstat.num_timewait,TRUE
net.sockstat.sockets_inuse,net sockstat sockets inuse,byte,line,n42-services/resources/metrics/net.sockstat.sockets_inuse,FALSE
net.stat.tcp.abort,net stat tcp abort,byte,line,n42-services/resources/metrics/net.stat.tcp.abort,TRUE
net.stat.tcp.abort.failed,net stat tcp abort failed,byte,line,n42-services/resources/metrics/net.stat.tcp.abort.failed,FALSE
net.stat.tcp.congestion.recovery,net stat tcp congestion recovery,byte,line,n42-services/resources/metrics/net.stat.tcp.congestion.recovery,TRUE
net.stat.tcp.delayedack,net stat tcp delayedack,byte,line,n42-services/resources/metrics/net.stat.tcp.delayedack,FALSE
net.stat.tcp.failed_accept,net stat tcp failed accept,byte,line,n42-services/resources/metrics/net.stat.tcp.failed_accept,TRUE
net.stat.tcp.memory.pressure,net stat tcp memory pressure,byte,line,n42-services/resources/metrics/net.stat.tcp.memory.pressure,FALSE
net.stat.tcp.memory.prune,net stat tcp memory prune,byte,line,n42-services/resources/metrics/net.stat.tcp.memory.prune,TRUE
net.stat.tcp.packetloss.recovery,net stat tcp packetloss recovery,byte,line,n42-services/resources/metrics/net.stat.tcp.packetloss.recovery,FALSE
net.stat.tcp.reording,net stat tcp reording,byte,line,n42-services/resources/metrics/net.stat.tcp.reording,TRUE
net.stat.tcp.retransmit,net stat tcp retransmit,byte,line,n42-services/resources/metrics/net.stat.tcp.retransmit,FALSE
net.stat.tcp.syncookies,net stat tcp syncookies,byte,line,n42-services/resources/metrics/net.stat.tcp.syncookies,TRUE
net.stat.udp.datagrams,net stat udp datagrams,byte,line,n42-services/resources/metrics/net.stat.udp.datagrams,FALSE
net.stat.udp.errors,net stat udp errors,byte,line,n42-services/resources/metrics/net.stat.udp.errors,TRUE
proc.interrupts,proc interrupts,byte,line,n42-services/resources/metrics/proc.interrupts,FALSE
proc.kernel.entropy_avail,proc kernel entropy avail,byte,line,n42-services/resources/metrics/proc.kernel.entropy_avail,TRUE
proc.loadavg.15min,proc loadavg 15min,byte,line,n42-services/resources/metrics/proc.loadavg.15min,FALSE
proc.loadavg.1min,proc loadavg 1min,byte,line,n42-services/resources/metrics/proc.loadavg.1min,TRUE
proc.loadavg.5min,proc loadavg 5min,byte,line,n42-services/resources/metrics/proc.loadavg.5min,FALSE
proc.loadavg.runnable,proc loadavg runnable,byte,line,n42-services/resources/metrics/proc.loadavg.runnable,TRUE
proc.loadavg.total_threads,proc loadavg total threads,byte,line,n42-services/resources/metrics/proc.loadavg.total_threads,FALSE
proc.meminfo.anonpages,proc meminfo anonpages,byte,line,n42-services/resources/metrics/proc.meminfo.anonpages,TRUE
proc.meminfo.bounce,proc meminfo bounce,byte,line,n42-services/resources/metrics/proc.meminfo.bounce,FALSE
proc.meminfo.buffers,proc meminfo buffers,byte,line,n42-services/resources/metrics/proc.meminfo.buffers,TRUE
proc.meminfo.cached,proc meminfo cached,byte,line,n42-services/resources/metrics/proc.meminfo.cached,FALSE
proc.meminfo.commitlimit,proc meminfo commitlimit,byte,line,n42-services/resources/metrics/proc.meminfo.commitlimit,TRUE
proc.meminfo.committed_as,proc meminfo committed as,byte,line,n42-services/resources/metrics/proc.meminfo.committed_as,FALSE
proc.meminfo.dirty,proc meminfo dirty,byte,line,n42-services/resources/metrics/proc.meminfo.dirty,TRUE
proc.meminfo.highfree,proc meminfo highfree,byte,line,n42-services/resources/metrics/proc.meminfo.highfree,FALSE
proc.meminfo.hightotal,proc meminfo hightotal,byte,line,n42-services/resources/metrics/proc.meminfo.hightotal,TRUE
proc.meminfo.hugepagesize,proc meminfo hugepagesize,byte,line,n42-services/resources/metrics/proc.meminfo.hugepagesize,FALSE
proc.meminfo.inactive,proc meminfo inactive,byte,line,n42-services/resources/metrics/proc.meminfo.inactive,TRUE
proc.meminfo.lowfree,proc meminfo lowfree,byte,line,n42-services/resources/metrics/proc.meminfo.lowfree,FALSE
proc.meminfo.lowtotal,proc meminfo lowtotal,byte,line,n42-services/resources/metrics/proc.meminfo.lowtotal,TRUE
proc.meminfo.mapped,proc meminfo mapped,byte,line,n42-services/resources/metrics/proc.meminfo.mapped,FALSE
proc.meminfo.memtotal,proc meminfo memtotal,byte,line,n42-services/resources/metrics/proc.meminfo.memtotal,TRUE
proc.meminfo.nfs_unstable,proc meminfo nfs unstable,byte,line,n42-services/resources/metrics/proc.meminfo.nfs_unstable,FALSE
proc.meminfo.pagetables,proc meminfo pagetables,byte,line,n42-services/resources/metrics/proc.meminfo.pagetables,TRUE
proc.meminfo.slab,proc meminfo slab,byte,line,n42-services/resources/metrics/proc.meminfo.slab,FALSE
proc.meminfo.swapcached,proc meminfo swapcached,byte,line,n42-services/resources/metrics/proc.meminfo.swapcached,TRUE
proc.meminfo.swapfree,proc meminfo swapfree,byte,line,n42-services/resources/metrics/proc.meminfo.swapfree,FALSE
proc.meminfo.swaptotal,proc meminfo swaptotal,byte,line,n42-services/resources/metrics/proc.meminfo.swaptotal,TRUE
proc.meminfo.vmallocchunk,proc meminfo vmallocchunk,byte,line,n42-services/resources/metrics/proc.meminfo.vmallocchunk,FALSE
proc.meminfo.vmalloctotal,proc meminfo vmalloctotal,byte,line,n42-services/resources/metrics/proc.meminfo.vmalloctotal,TRUE
proc.meminfo.vmallocused,proc meminfo vmallocused,byte,line,n42-services/resources/metrics/proc.meminfo.vmallocused,FALSE
proc.meminfo.writeback,proc meminfo writeback,byte,line,n42-services/resources/metrics/proc.meminfo.writeback,TRUE
proc.net.carrier.errs,proc net carrier errs,byte,line,n42-services/resources/metrics/proc.net.carrier.errs,FALSE
proc.net.collisions,proc net collisions,byte,line,n42-services/resources/metrics/proc.net.collisions,TRUE
proc.net.compressed,proc net compressed,byte,line,n42-services/resources/metrics/proc.net.compressed,FALSE
proc.net.dropped,proc net dropped,byte,line,n42-services/resources/metrics/proc.net.dropped,TRUE
proc.net.errs,proc net errs,byte,line,n42-services/resources/metrics/proc.net.errs,FALSE
proc.net.fifo.errs,proc net fifo errs,byte,line,n42-services/resources/metrics/proc.net.fifo.errs,TRUE
proc.net.frame.errs,proc net frame errs,byte,line,n42-services/resources/metrics/proc.net.frame.errs,FALSE
proc.net.multicast,proc net multicast,byte,line,n42-services/resources/metrics/proc.net.multicast,TRUE
proc.net.packets,proc net packets,byte,line,n42-services/resources/metrics/proc.net.packets,FALSE
proc.net.tcp,proc net tcp,byte,line,n42-services/resources/metrics/proc.net.tcp,TRUE
proc.stat.cpu,proc stat cpu,byte,line,n42-services/resources/metrics/proc.stat.cpu,FALSE
proc.stat.cpu.percpu,proc stat cpu percpu,byte,line,n42-services/resources/metrics/proc.stat.cpu.percpu,TRUE
proc.stat.ctxt,proc stat ctxt,byte,line,n42-services/resources/metrics/proc.stat.ctxt,FALSE
proc.stat.intr,proc stat intr,byte,line,n42-services/resources/metrics/proc.stat.intr,TRUE
proc.stat.processes,proc stat processes,byte,line,n42-services/resources/metrics/proc.stat.processes,FALSE
proc.stat.procs_blocked,proc stat procs blocked,byte,line,n42-services/resources/metrics/proc.stat.procs_blocked,TRUE
proc.uptime.now,proc uptime now,byte,line,n42-services/resources/metrics/proc.uptime.now,FALSE
proc.uptime.total,proc uptime total,byte,line,n42-services/resources/metrics/proc.uptime.total,TRUE
proc.vmstat.pgfault,proc vmstat pgfault,byte,line,n42-services/resources/metrics/proc.vmstat.pgfault,FALSE
proc.vmstat.pgmajfault,proc vmstat pgmajfault,byte,line,n42-services/resources/metrics/proc.vmstat.pgmajfault,TRUE
proc.vmstat.pgpgin,proc vmstat pgpgin,byte,line,n42-services/resources/metrics/proc.vmstat.pgpgin,FALSE
proc.vmstat.pgpgout,proc vmstat pgpgout,byte,line,n42-services/resources/metrics/proc.vmstat.pgpgout,TRUE
proc.vmstat.pswpin,proc vmstat pswpin,byte,line,n42-services/resources/metrics/proc.vmstat.pswpin,FALSE
proc.vmstat.pswpout,proc vmstat pswpout,byte,line,n42-services/resources/metrics/proc.vmstat.pswpout,TRUE
tomcat.NonHeapMemoryUsage,tomcat NonHeapMemoryUsage,byte,line,n42-services/resources/metrics/tomcat.NonHeapMemoryUsage,TRUE
tomcat.Uptime,tomcat Uptime,byte,line,n42-services/resources/metrics/tomcat.Uptime,FALSE
tomcat.averageProcessingTime,tomcat averageProcessingTime,byte,line,n42-services/resources/metrics/tomcat.averageProcessingTime,TRUE
tomcat.bytesReceived,tomcat bytesReceived,byte,line,n42-services/resources/metrics/tomcat.bytesReceived,FALSE
tomcat.errorCount,tomcat errorCount,byte,line,n42-services/resources/metrics/tomcat.errorCount,TRUE
tomcat.maxTime,tomcat maxTime,byte,line,n42-services/resources/metrics/tomcat.maxTime,FALSE
tomcat.requestCount,tomcat requestCount,byte,line,n42-services/resources/metrics/tomcat.requestCount,TRUE
zookeeper.zk_approximate_data_size,zookeeper zk approximate data size,byte,line,n42-services/resources/metrics/zookeeper.zk_approximate_data_size,FALSE
zookeeper.zk_avg_latency,zookeeper zk avg latency,byte,line,n42-services/resources/metrics/zookeeper.zk_avg_latency,TRUE
zookeeper.zk_max_latency,zookeeper zk max latency,byte,line,n42-services/resources/metrics/zookeeper.zk_max_latency,FALSE
zookeeper.zk_min_latency,zookeeper zk min latency,byte,line,n42-services/resources/metrics/zookeeper.zk_min_latency,TRUE
zookeeper.zk_num_alive_connections,zookeeper zk num alive connections,byte,line,n42-services/resources/metrics/zookeeper.zk_num_alive_connections,FALSE
zookeeper.zk_open_file_descriptor_count,zookeeper zk open file descriptor count,byte,line,n42-services/resources/metrics/zookeeper.zk_open_file_descriptor_count,TRUE
zookeeper.zk_outstanding_requests,zookeeper zk outstanding requests,byte,line,n42-services/resources/metrics/zookeeper.zk_outstanding_requests,FALSE
zookeeper.zk_packets_received,zookeeper zk packets received,byte,line,n42-services/resources/metrics/zookeeper.zk_packets_received,TRUE
zookeeper.zk_packets_sent,zookeeper zk packets sent,byte,line,n42-services/resources/metrics/zookeeper.zk_packets_sent,FALSE
