"# pxname","svname","qcur","qmax","scur","smax","slim","stot","bin","bout","dreq","dresp","ereq","econ","eresp","wretr","wredis","status","weight","act","bck","chkfail","chkdown","lastchg","downtime","qlimit","pid","iid","sid","throttle","lbtot","tracked","type","rate","rate_lim","rate_max"
"appname","FRONTEND","","","20","40","60000","12714","1808321","186027638","0","0","0","","","","","OPEN","","","","","","","","","1","1","0","","","","0","144","0","174"
"appname","server1","0","0","18","38","512","11537","1641144","169834148","","0","","0","0","0","0","UP","10","1","0","0","0","102","0","","1","1","1","","11537","","2","130","","158"
"appname","server2","0","0","1","3","512","1153","163957","16176775","","0","","0","0","0","0","UP","1","1","0","0","0","102","0","","1","1","2","","1153","","2","13","","16"
"appname","BACKEND","0","0","19","40","60000","12690","1808321","186027638","0","0","","0","0","0","0","UP","11","2","0","","0","102","0","","1","1","0","","12690","","1","143","","174"
