"# pxname","svname","qcur","qmax","scur","smax","slim","stot","bin","bout","dreq","dresp","ereq","econ","eresp","wretr","wredis","status","weight","act","bck","chkfail","chkdown","lastchg","downtime","qlimit","pid","iid","sid","throttle","lbtot","tracked","type","rate","rate_lim","rate_max"
"appname","FRONTEND","","","145","498","60000","1945750","710557920","25704380683","0","0","1","","","","","OPEN","","","","","","","","","1","1","0","","","","0","33","0","179"
"appname","server1","0","0","52","297","512","965161","354219404","12833875648","","0","","0","0","29","0","UP","1","1","0","11","0","74782","0","","1","1","1","","965132","","2","15","","92"
"appname","server2","0","0","92","274","512","965131","354124514","12858508876","","0","","0","0","0","0","UP","1","1","0","0","0","74782","0","","1","1","2","","965131","","2","15","","91"
"appname","BACKEND","0","0","144","498","60000","1930263","710557920","25704380683","0","0","","0","1","29","0","UP","2","2","0","","0","74782","0","","1","1","0","","1930263","","1","31","","183"
